angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,0.99,0.01,0.0,0.0,11:38
0.0,0.0,0.0,0.97,0.03,0.01,0.0,11:4
0.0,0.0,0.0,0.08,0.85,0.06,0.01,11:44
0.0,0.0,0.0,0.03,0.92,0.05,0.0,11:46
0.0,0.0,0.0,0.04,0.94,0.02,0.0,11:48
0.0,0.0,0.0,0.03,0.34,0.62,0.01,11:52
0.0,0.0,0.0,0.02,0.35,0.63,0.0,11:54
0.0,0.0,0.01,0.08,0.36,0.5,0.06,11:56
0.0,0.0,0.0,0.19,0.72,0.09,0.0,11:58
0.0,0.0,0.0,0.06,0.92,0.02,0.0,12:0
0.0,0.0,0.0,0.44,0.54,0.01,0.0,12:2
0.0,0.0,0.0,0.17,0.34,0.48,0.01,12:6
0.0,0.0,0.0,0.7,0.06,0.24,0.0,12:12
0.0,0.0,0.0,0.04,0.88,0.08,0.0,12:14
0.0,0.0,0.0,0.04,0.8,0.15,0.0,12:16
0.0,0.0,0.0,0.07,0.82,0.11,0.0,12:18
0.0,0.0,0.0,0.11,0.26,0.63,0.0,12:22
0.0,0.0,0.0,0.16,0.79,0.04,0.0,12:24
0.0,0.0,0.0,0.75,0.24,0.01,0.0,12:26
0.0,0.0,0.0,0.96,0.03,0.01,0.0,12:28
0.0,0.0,0.0,0.9,0.01,0.1,0.0,12:3
0.0,0.0,0.0,0.82,0.13,0.04,0.0,12:32
0.0,0.0,0.0,0.2,0.62,0.17,0.0,12:38
0.0,0.0,0.0,0.97,0.03,0.0,0.0,12:4
0.0,0.0,0.0,0.46,0.28,0.26,0.0,12:42
0.0,0.0,0.0,0.59,0.38,0.02,0.0,12:44
0.0,0.0,0.0,0.18,0.36,0.46,0.0,12:46
0.0,0.0,0.0,0.96,0.01,0.03,0.0,12:48
0.0,0.0,0.0,0.96,0.03,0.01,0.0,12:5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,12:52
0.0,0.0,0.0,1.0,0.0,0.0,0.0,12:54
0.0,0.0,0.0,1.0,0.0,0.0,0.0,12:56
0.0,0.0,0.0,1.0,0.0,0.0,0.0,12:58
0.0,0.0,0.0,1.0,0.0,0.0,0.0,13:0
0.0,0.0,0.0,0.94,0.05,0.0,0.0,13:6
0.0,0.0,0.0,1.0,0.0,0.0,0.0,13:8
0.0,0.0,0.0,1.0,0.0,0.0,0.0,13:1
0.0,0.0,0.0,0.98,0.01,0.0,0.0,13:12
0.0,0.0,0.0,0.86,0.06,0.08,0.0,13:14
0.0,0.0,0.0,0.82,0.15,0.03,0.0,13:16
0.0,0.0,0.0,0.23,0.73,0.04,0.0,13:18
0.0,0.0,0.0,0.02,0.87,0.11,0.0,13:2
0.0,0.0,0.0,0.05,0.93,0.02,0.0,13:22
0.0,0.0,0.0,0.02,0.7,0.28,0.0,13:24
